icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
4ca647,RYR68ME ,Ireland,1764668078,1764668078,12.6063,49.9827,10363.2,False,223.48,302.59,0.0,,10370.82,4404,False,0,2025-12-02 09:34:39+00:00
48675f,PHKFV   ,Kingdom of the Netherlands,1764668078,1764668078,7.3663,52.241,929.64,False,50.04,284.89,0.0,,914.4,7000,False,0,2025-12-02 09:34:39+00:00
4ca640,EIN15M  ,Ireland,1764668078,1764668078,-2.3149,51.7405,7551.42,False,223.71,283.97,7.15,,7315.2,1404,False,0,2025-12-02 09:34:39+00:00
345248,VLG29JB ,Spain,1764668078,1764668078,-1.3445,38.8082,10363.2,False,242.23,38.79,0.0,,10454.64,5107,False,0,2025-12-02 09:34:39+00:00
345249,VLG5TZ  ,Spain,1764668078,1764668078,10.4156,45.9394,10668.0,False,244.64,228.84,0.0,,10683.24,1000,False,0,2025-12-02 09:34:39+00:00
478de3,DOC94   ,Norway,1764668069,1764668071,12.3488,55.3712,449.58,False,64.47,101.04,-0.33,,457.2,5411,False,0,2025-12-02 09:34:39+00:00
49d62d,PAV181  ,Czech Republic,1764668077,1764668078,-2.3674,46.1815,13716.0,False,201.86,228.31,0.0,,13540.74,3544,False,0,2025-12-02 09:34:39+00:00
0201c1,RAM2012 ,Morocco,1764668078,1764668078,-1.4732,37.9383,10972.8,False,250.37,64.7,0.0,,11079.48,1412,False,0,2025-12-02 09:34:39+00:00
405f11,EZY12LX ,United Kingdom,1764668078,1764668078,10.7926,42.1946,11277.6,False,239.74,142.76,0.33,,11269.98,7605,False,0,2025-12-02 09:34:39+00:00
4ca61e,RYR7LW  ,Ireland,1764668078,1764668078,-3.2145,56.0033,769.62,False,74.99,239.04,-3.58,,640.08,3553,False,0,2025-12-02 09:34:39+00:00
486741,KLM44Y  ,Kingdom of the Netherlands,1764668078,1764668078,8.1617,53.7413,11582.4,False,200.43,232.72,0.0,,11513.82,0750,False,0,2025-12-02 09:34:39+00:00
4ca61b,RYR47DZ ,Ireland,1764668078,1764668078,15.1156,38.7739,8100.06,False,183.69,148.98,-8.13,,8199.12,7420,False,0,2025-12-02 09:34:39+00:00
4ca61d,RYR1PH  ,Ireland,1764668078,1764668078,15.523,57.1512,10972.8,False,214.21,203.79,0.0,,10919.46,3705,False,0,2025-12-02 09:34:39+00:00
486740,,Kingdom of the Netherlands,1764667895,1764667895,4.7737,52.3083,,True,1.54,126.56,,,,,False,0,2025-12-02 09:34:39+00:00
4ca623,RYR919G ,Ireland,1764668078,1764668078,7.0958,49.5932,11887.2,False,215.35,126.84,0.0,,11818.62,0112,False,0,2025-12-02 09:34:39+00:00
4ca624,RYR2546 ,Ireland,1764668078,1764668078,8.2748,46.6875,11887.2,False,222.55,154.98,0.0,,11871.96,1000,False,0,2025-12-02 09:34:39+00:00
49d655,AAO12   ,Czech Republic,1764668078,1764668078,19.0638,47.3961,4671.06,False,141.32,279.43,19.83,,4747.26,,False,0,2025-12-02 09:34:39+00:00
49d651,CLV242  ,Czech Republic,1764668078,1764668078,15.7738,50.0123,281.94,False,40.69,272.9,-2.6,,365.76,,False,0,2025-12-02 09:34:39+00:00
45f429,LONGL01 ,Denmark,1764668078,1764668078,10.5794,56.3311,670.56,False,82.48,145.42,-0.98,,647.7,0220,False,0,2025-12-02 09:34:39+00:00
406666,EZY18GK ,United Kingdom,1764668078,1764668078,-9.3482,36.0839,11894.82,False,215.8,206.63,-0.33,,12039.6,2004,False,0,2025-12-02 09:34:39+00:00
407997,LDG17   ,United Kingdom,1764668078,1764668078,-0.5264,52.1692,868.68,False,58.44,143.23,-0.98,,807.72,7417,False,0,2025-12-02 09:34:39+00:00
406668,EZY583T ,United Kingdom,1764668077,1764668078,-3.36,55.9509,,True,0.06,109.69,,,,3625,False,0,2025-12-02 09:34:39+00:00
486730,PHKFW   ,Kingdom of the Netherlands,1764668077,1764668078,6.7974,53.0314,518.16,False,45.37,240.82,0.0,,502.92,7000,False,0,2025-12-02 09:34:39+00:00
